id,id_vendedor,id_cliente,preco_total,data_venda,comissao
100149,81878,33967,55.5,2023-12-27,2.22
100150,80459,32492,10300.0,2016-06-06,412.0
100151,80972,31061,5.5,2012-04-08,0.22
100152,80649,33086,60000.0,2023-12-20,2400.0
100153,80650,32960,350.0,2021-05-28,14.0
100154,80751,32596,40000.0,2012-01-02,1600.0
100155,81280,31479,11.0,2010-11-27,0.44
100156,80067,30436,10000.0,2019-04-08,400.0
100157,81859,31439,33000.0,2015-11-02,1320.0
100158,81676,32521,650.0,2011-05-20,26.0
100159,81823,30483,33050.0,2015-08-19,1322.0
100160,81308,30953,350.0,2016-05-04,14.0
100161,80817,34868,23000.0,2018-07-17,920.0
100162,80618,33292,13000.0,2016-09-21,520.0
100163,80684,34293,3000.0,2024-06-13,120.0
100164,80404,32750,3005.5,2020-03-28,120.22
100165,81489,30466,11.0,2019-11-15,0.44
100166,81006,32758,30005.5,2024-10-31,1200.22
100167,80636,33802,5.5,2018-01-25,0.22
100168,80113,34632,6000.0,2024-04-12,240.0
100169,80719,32608,30305.5,2021-12-15,1212.22
100170,81457,32844,50.0,2018-04-11,2.0
100171,81942,31022,50.0,2016-11-12,2.0
100172,81108,32792,30305.5,2018-07-08,1212.22
100173,80319,32641,30050.0,2024-07-08,1202.0
100174,80098,34242,3000.0,2015-02-15,120.0
100175,80110,31140,605.5,2023-03-03,24.22
100176,80835,34173,55.5,2024-07-29,2.22
100177,81957,30322,30100.0,2020-02-24,1204.0
100178,81057,32820,30050.0,2011-08-19,1202.0
100179,80495,30839,55.5,2016-07-13,2.22
100180,81632,32625,13050.0,2020-06-26,522.0
100181,80614,32100,10005.5,2011-10-12,400.22
100182,81268,30308,350.0,2017-07-28,14.0
100183,81674,32031,33005.5,2019-05-10,1320.22
100184,80990,34407,600.0,2016-07-03,24.0
100185,80097,33098,5.5,2024-03-12,0.22
100186,80347,32949,55.5,2009-02-03,2.22
100187,80709,30650,30005.5,2018-04-22,1200.22
100188,81901,33997,40300.0,2016-10-24,1612.0
100189,80109,33178,6000.0,2021-01-03,240.0
100190,80815,33403,30000.0,2009-08-30,1200.0
100191,81840,30152,40050.0,2013-12-24,1602.0
100192,80205,32408,3000.0,2024-10-26,120.0
100193,81006,32306,300.0,2021-03-28,12.0
100194,80722,30564,10000.0,2010-12-10,400.0
100195,80692,32278,30300.0,2010-01-30,1212.0
100196,81277,34462,30050.0,2017-09-18,1202.0
100197,81957,34419,10055.5,2019-06-06,402.22
100198,80769,32739,20050.0,2021-06-19,802.0
100199,80917,34650,30600.0,2011-07-08,1224.0
100200,81017,34942,30000.0,2017-03-02,1200.0
100201,81701,31277,3300.0,2018-01-22,132.0
100202,81033,34938,100.0,2017-08-04,4.0
100203,81891,33086,3305.5,2020-12-01,132.22
100204,80313,33468,40050.0,2011-09-16,1602.0
100205,80120,31640,305.5,2021-10-23,12.22
100207,80790,30672,5.5,2021-12-02,0.22
100208,81931,30318,3000.0,2014-01-30,120.0
100209,80990,33835,16000.0,2013-04-09,640.0
100210,81609,31627,10050.0,2010-08-06,402.0
100211,81174,30952,60005.5,2018-11-07,2400.22
100212,81034,34434,40050.0,2016-12-19,1602.0
100213,80931,32544,13300.0,2020-09-02,532.0
100214,81245,34164,40050.0,2012-08-01,1602.0
100215,80532,33970,16000.0,2014-12-08,640.0
100216,81982,33061,13300.0,2018-08-17,532.0
100217,81719,34174,30000.0,2014-08-08,1200.0
100218,81459,31996,50000.0,2023-08-28,2000.0
100219,81119,31448,300.0,2017-01-04,12.0
100220,81535,34905,50.0,2020-11-02,2.0
100221,81070,32532,11.0,2024-06-05,0.44
100222,80504,33282,5.5,2010-12-13,0.22
100223,81830,30682,11.0,2008-11-30,0.44
100224,80123,33310,30005.5,2020-09-11,1200.22
100225,81127,32537,13005.5,2012-03-26,520.22
100226,80487,32820,300.0,2014-12-24,12.0
100227,80651,31613,5.5,2011-12-21,0.22
100228,81922,32712,40005.5,2012-02-17,1600.22
100229,80364,31547,300.0,2019-09-13,12.0
100230,80397,32054,30000.0,2024-07-06,1200.0
100231,80259,33856,350.0,2015-07-03,14.0
100232,80373,32168,50.0,2017-02-22,2.0
100233,80734,33915,40005.5,2009-07-24,1600.22
100234,80408,30326,6000.0,2017-08-24,240.0
100235,81737,30316,63000.0,2023-11-17,2520.0
100236,80269,34206,350.0,2024-04-25,14.0
100237,80828,32219,3005.5,2016-08-10,120.22
100238,81666,32724,30300.0,2020-01-01,1212.0
100239,81032,33807,3005.5,2021-08-15,120.22
100240,80947,31906,50.0,2018-10-18,2.0
100241,80972,34284,30000.0,2009-12-28,1200.0
100242,80413,34445,5.5,2017-06-28,0.22
100243,80030,33005,355.5,2011-05-01,14.22
100244,80199,33083,55.5,2012-01-06,2.22
100245,80046,34927,30000.0,2012-02-27,1200.0
100246,80937,31190,3000.0,2023-02-18,120.0
100247,80203,30582,300.0,2016-06-22,12.0
100248,80475,31565,10050.0,2009-05-18,402.0
100249,81255,30850,3000.0,2015-09-10,120.0
100250,81775,32632,3055.5,2011-08-15,122.22
100251,80591,34831,10350.0,2016-09-18,414.0
100252,81472,34987,300.0,2016-02-16,12.0
100253,81740,32283,50.0,2020-12-25,2.0
100254,81419,32534,3300.0,2024-06-03,132.0
100255,80094,34502,40000.0,2009-08-19,1600.0
100256,80080,34827,40000.0,2017-02-06,1600.0
100257,80665,30626,300.0,2017-10-12,12.0
100258,81536,30830,10000.0,2023-08-08,400.0
100259,81639,32862,30350.0,2019-05-03,1214.0
100260,80922,33194,3350.0,2014-11-11,134.0
100261,81318,31085,900.0,2014-05-15,36.0
100262,80317,32095,5.5,2014-12-16,0.22
100263,80989,31259,3011.0,2012-04-09,120.44
100264,81935,33118,50.0,2015-05-21,2.0
100265,80751,30607,3300.0,2019-06-26,132.0
100266,80994,31158,40000.0,2009-11-14,1600.0
100268,80261,34186,10050.0,2013-07-01,402.0
100269,80222,33282,300.0,2018-11-08,12.0
100270,81105,34481,3055.5,2012-02-08,122.22
100271,80470,33617,350.0,2018-01-05,14.0
100272,80594,33730,50.0,2017-05-24,2.0
100273,81012,33036,43000.0,2020-03-05,1720.0
100274,80937,32388,3050.0,2013-01-10,122.0
100275,81621,34666,30005.5,2009-03-06,1200.22
100276,80786,34240,3000.0,2023-11-16,120.0
100277,81529,30776,30000.0,2012-07-09,1200.0
100278,81465,30722,60300.0,2024-02-16,2412.0
100279,81093,31260,5.5,2015-07-12,0.22
100280,81921,30713,55.5,2009-03-30,2.22
100281,81449,32668,33050.0,2021-04-13,1322.0
100282,80701,30605,6005.5,2023-11-26,240.22
100283,80489,31141,10005.5,2016-06-22,400.22
100284,81731,32596,10000.0,2018-05-05,400.0
100285,81432,30880,311.0,2013-10-13,12.44
100286,80579,31474,3305.5,2019-03-28,132.22
100287,80496,31277,10300.0,2017-05-05,412.0
100288,80879,30723,350.0,2008-12-17,14.0
100289,80827,34744,30055.5,2017-06-02,1202.22
100290,80210,34058,40050.0,2012-02-07,1602.0
100291,81346,31948,6000.0,2024-11-03,240.0
100292,80395,31332,30000.0,2013-11-01,1200.0
100293,81910,30478,10000.0,2009-08-20,400.0
100294,81223,31676,6000.0,2014-08-11,240.0
100295,80184,31069,10350.0,2024-03-04,414.0
100296,81438,31770,60300.0,2017-04-22,2412.0
100297,80654,32164,605.5,2017-01-12,24.22
100298,80886,31393,10005.5,2009-08-19,400.22
100299,80904,31431,10000.0,2015-01-16,400.0
100300,81559,31672,33050.0,2018-01-21,1322.0
100301,81026,34251,3000.0,2009-11-02,120.0
100302,81372,30896,11.0,2024-05-24,0.44
100303,80158,33949,10600.0,2010-05-06,424.0
100304,81951,30648,30000.0,2024-04-28,1200.0
100305,80346,32797,350.0,2018-12-10,14.0
100306,81121,30662,40050.0,2010-12-07,1602.0
100307,81433,32310,13005.5,2024-05-30,520.22
100308,80964,34718,300.0,2012-06-21,12.0
100309,81194,32900,60300.0,2009-01-25,2412.0
100310,80319,30067,13000.0,2012-04-11,520.0
100311,80319,33057,11.0,2013-07-19,0.44
100312,80427,31263,300.0,2012-05-18,12.0
100313,80240,32034,10000.0,2016-11-16,400.0
100314,81760,34790,350.0,2024-04-17,14.0
100315,80272,30312,10005.5,2018-02-11,400.22
100316,80780,31060,20050.0,2016-12-19,802.0
100317,81387,34654,3055.5,2010-12-02,122.22
100318,80165,30161,13000.0,2017-11-13,520.0
100319,80861,34044,50.0,2012-07-17,2.0
100320,80386,30318,13005.5,2016-12-15,520.22
100321,80931,30849,20000.0,2021-10-17,800.0
100322,80422,30827,300.0,2022-09-28,12.0
100324,80698,31913,10050.0,2017-01-17,402.0
100325,81622,31777,3000.0,2014-06-19,120.0
100326,80384,30389,20000.0,2019-07-06,800.0
100327,80454,33192,3300.0,2024-01-22,132.0
100328,80125,34517,50.0,2015-11-14,2.0
100329,81922,32694,300.0,2018-02-19,12.0
100330,81754,31493,61.0,2018-03-13,2.44
100331,80452,34990,30000.0,2020-02-12,1200.0
100332,80276,32670,3050.0,2013-10-22,122.0
100333,81683,32490,10350.0,2019-01-27,414.0
100334,81450,33216,3100.0,2019-05-31,124.0
100335,81245,30170,33005.5,2017-01-09,1320.22
100336,81832,33628,40000.0,2014-04-19,1600.0
100337,80661,34964,30050.0,2009-11-29,1202.0
100338,81370,34454,10055.5,2023-12-11,402.22
100339,80981,31699,10050.0,2023-04-18,402.0
100340,81521,31104,50.0,2013-09-20,2.0
100341,80734,33713,50.0,2013-02-16,2.0
100342,80666,33272,305.5,2016-04-20,12.22
100343,80313,31289,50.0,2009-06-12,2.0
100344,81144,34184,3000.0,2019-06-30,120.0
100345,80926,33866,305.5,2014-05-05,12.22
100346,80920,32451,13000.0,2010-12-14,520.0
100347,81673,34609,3300.0,2017-01-21,132.0
100348,81290,32307,300.0,2015-09-15,12.0
100349,80729,30959,33000.0,2016-07-22,1320.0
100350,81477,33430,10055.5,2014-05-24,402.22
100351,80282,31494,5.5,2014-03-23,0.22
100352,81863,34207,5.5,2015-03-23,0.22
100353,80264,31359,10005.5,2010-05-03,400.22
100354,81472,32962,3300.0,2017-11-04,132.0
100355,80303,32112,50.0,2020-02-05,2.0
100356,81548,33913,30000.0,2014-03-19,1200.0
100357,81002,34571,33000.0,2011-02-03,1320.0
100358,80888,30684,10300.0,2017-10-29,412.0
100359,81198,31404,20005.5,2014-11-25,800.22
100360,80547,30949,5.5,2017-10-31,0.22
100361,81938,34524,11.0,2009-05-26,0.44
100362,81947,30719,300.0,2021-05-24,12.0
100363,80874,31692,3000.0,2019-07-05,120.0
100364,80862,33908,6000.0,2023-08-18,240.0
100365,81617,34017,20300.0,2021-01-23,812.0
100366,81993,31021,3011.0,2010-06-30,120.44
100367,80666,33615,10000.0,2021-12-19,400.0
100368,80319,33446,10011.0,2018-12-18,400.44
100369,81003,34212,30005.5,2022-02-25,1200.22
100370,81219,33869,30000.0,2016-05-24,1200.0
100371,80472,31768,90000.0,2019-09-12,3600.0
100372,81339,33176,3050.0,2010-05-17,122.0
100373,81415,31981,13000.0,2012-08-01,520.0
100374,80443,32886,40300.0,2013-10-19,1612.0
100375,80294,34783,30050.0,2009-03-15,1202.0
100376,80011,33683,3005.5,2018-08-30,120.22
100377,81346,30469,3350.0,2021-12-19,134.0
100378,80792,30409,55.5,2014-11-18,2.22
100379,81191,33933,30000.0,2022-05-02,1200.0
100380,80968,31831,300.0,2017-09-08,12.0
100381,81045,34810,40300.0,2023-03-19,1612.0
100383,81331,31564,3000.0,2012-07-17,120.0
100384,80349,33658,305.5,2014-12-25,12.22
100385,80069,32382,5.5,2019-09-14,0.22
100386,80329,31364,5.5,2019-12-31,0.22
100387,81909,30949,50000.0,2012-04-11,2000.0
100388,81807,34803,6050.0,2019-06-27,242.0
100389,81053,34190,33050.0,2016-01-19,1322.0
100390,80311,30383,3005.5,2019-08-15,120.22
100391,81788,30406,300.0,2016-05-06,12.0
100392,81469,33769,3000.0,2022-07-22,120.0
100393,81271,30836,10300.0,2014-05-09,412.0
100394,80163,30541,6000.0,2015-06-27,240.0
100395,81479,31146,350.0,2009-04-11,14.0
100396,80051,32923,10600.0,2023-08-29,424.0
100397,81026,30135,33000.0,2023-12-16,1320.0
100398,80359,31722,300.0,2022-08-20,12.0
100399,80010,34372,50.0,2009-01-07,2.0
100400,81409,34302,350.0,2020-01-04,14.0
100401,81986,31892,33005.5,2014-02-09,1320.22
100402,80827,34194,3005.5,2015-05-14,120.22
100403,80797,30997,20300.0,2020-07-22,812.0
100404,81395,30656,30000.0,2011-11-05,1200.0
100405,81060,34140,5.5,2020-11-07,0.22
100406,81806,33582,30050.0,2022-03-12,1202.0
100407,80211,34983,30000.0,2015-05-24,1200.0
100408,81246,34265,55.5,2018-01-30,2.22
100409,80404,30305,3005.5,2022-02-08,120.22
100410,81746,30301,10000.0,2013-01-29,400.0
100412,80484,30953,60000.0,2017-09-08,2400.0
100413,81330,32026,40050.0,2022-03-26,1602.0
100414,80464,31647,5.5,2023-03-14,0.22
100415,81968,34386,350.0,2014-01-03,14.0
100416,80470,33635,3300.0,2021-08-12,132.0
100417,81366,33565,43000.0,2022-04-04,1720.0
100418,80153,33658,50.0,2017-05-13,2.0
100419,81282,30174,6300.0,2009-01-17,252.0
100420,80940,34859,55.5,2017-03-24,2.22
100421,81412,33686,33005.5,2018-05-09,1320.22
100422,80123,30295,3005.5,2024-09-03,120.22
100423,80860,31790,60000.0,2019-08-28,2400.0
100424,81773,31884,105.5,2022-03-07,4.22
100425,81495,34240,300.0,2021-06-13,12.0
100426,80379,33833,50.0,2019-03-21,2.0
100427,81736,30199,10050.0,2023-06-08,402.0
100428,81784,30563,600.0,2022-02-13,24.0
100429,80499,31882,33000.0,2010-05-20,1320.0
100430,81751,30178,40300.0,2009-05-29,1612.0
100431,81550,34579,300.0,2011-09-16,12.0
100432,80467,34044,40050.0,2021-07-27,1602.0
100433,80335,32119,5.5,2019-09-11,0.22
100434,81326,31646,10305.5,2023-11-11,412.22
100435,80838,33175,3011.0,2018-05-19,120.44
100436,81017,34434,10000.0,2009-10-29,400.0
100437,81493,34902,10005.5,2024-07-17,400.22
100438,80586,34814,5.5,2018-05-01,0.22
100439,80187,30611,50.0,2021-09-16,2.0
100440,81125,32109,50.0,2018-11-26,2.0
100441,81095,34163,13005.5,2016-04-01,520.22
100442,81123,32864,3000.0,2015-03-27,120.0
100443,80290,32319,30000.0,2012-05-24,1200.0
100444,80777,30179,3300.0,2013-09-21,132.0
100445,80383,33916,30300.0,2019-05-10,1212.0
100446,80133,30483,50.0,2009-10-24,2.0
100447,81767,34016,5.5,2017-08-18,0.22
100448,81223,34115,13050.0,2022-07-24,522.0
100449,81005,30541,30005.5,2011-09-12,1200.22
100450,81478,30751,30055.5,2022-08-22,1202.22
100451,80737,30701,43000.0,2023-02-22,1720.0
100452,80150,32388,20005.5,2012-07-05,800.22
100453,81904,31424,300.0,2009-07-18,12.0
100454,80086,31409,3000.0,2018-07-04,120.0
100455,81653,34715,33300.0,2014-02-15,1332.0
100456,81972,32490,6000.0,2013-03-30,240.0
100457,80460,31794,60005.5,2024-01-23,2400.22
100458,80586,33824,10050.0,2014-10-10,402.0
100459,81810,34618,305.5,2012-11-15,12.22
100460,81483,31901,350.0,2009-03-26,14.0
100461,80302,33031,300.0,2019-04-08,12.0
100462,81936,34912,3000.0,2024-04-30,120.0
100464,81265,34078,10000.0,2024-06-08,400.0
100465,81784,33883,9000.0,2012-10-16,360.0
100466,81570,31114,5.5,2020-06-21,0.22
100467,81286,32248,30000.0,2020-01-25,1200.0
100468,81982,31160,60050.0,2009-05-25,2402.0
100469,81212,34225,30011.0,2014-10-16,1200.44
100470,81978,32303,10300.0,2015-12-12,412.0
100471,80192,34756,30100.0,2010-06-06,1204.0
100472,80142,33228,11.0,2020-04-13,0.44
100473,81913,32301,600.0,2009-06-09,24.0
100474,80677,32951,10000.0,2017-04-08,400.0
100475,80359,32250,10050.0,2024-08-29,402.0
100476,81588,33331,10300.0,2010-12-06,412.0
100477,80650,31664,50.0,2012-04-26,2.0
100478,80826,33746,50.0,2024-08-25,2.0
100480,81985,33163,30305.5,2011-08-26,1212.22
100481,80195,34263,3000.0,2015-09-20,120.0
100482,81386,33063,5.5,2010-09-24,0.22
100483,80929,31369,10000.0,2015-05-13,400.0
100484,80028,33250,10000.0,2023-11-25,400.0
100485,81997,34095,10300.0,2020-03-01,412.0
100486,81421,30961,6050.0,2021-03-29,242.0
100487,80946,32682,60050.0,2021-07-20,2402.0
100488,80929,33390,40050.0,2024-10-30,1602.0
100489,81435,31470,30350.0,2021-01-29,1214.0
100490,81622,33572,11.0,2021-07-22,0.44
100491,80341,34826,300.0,2018-10-17,12.0
100492,81081,30677,13000.0,2017-05-09,520.0
100493,80263,34385,61.0,2019-03-06,2.44
100494,81717,31859,5.5,2022-02-23,0.22
100495,80594,30402,50.0,2021-05-23,2.0
100496,81404,30816,30600.0,2017-11-22,1224.0
100497,80652,34688,10000.0,2010-05-23,400.0
100498,80951,33605,50.0,2024-05-28,2.0
100499,80432,30145,10600.0,2023-01-08,424.0
100500,80458,34682,10000.0,2017-06-10,400.0
100501,81198,32135,10350.0,2015-11-13,414.0
100502,80012,31704,3100.0,2010-07-18,124.0
100503,80666,32543,30305.5,2012-05-21,1212.22
100504,80304,34858,6000.0,2021-09-03,240.0
100505,80019,30928,33000.0,2010-10-11,1320.0
100506,80906,33760,13000.0,2015-11-23,520.0
100507,81229,31368,10000.0,2012-06-05,400.0
100508,80342,32197,50.0,2020-12-18,2.0
100509,81684,32685,6300.0,2016-04-30,252.0
100510,81514,32587,30055.5,2021-06-30,1202.22
100511,80163,33834,600.0,2022-03-20,24.0
100512,80853,33514,10300.0,2013-03-18,412.0
100513,80940,30639,5.5,2009-04-11,0.22
100514,81247,34314,50.0,2022-06-04,2.0
100516,81712,33798,33050.0,2022-12-02,1322.0
100517,81286,34692,300.0,2020-09-03,12.0
100518,80170,31694,5.5,2023-01-27,0.22
100519,80044,33912,30000.0,2009-03-17,1200.0
100520,81820,34335,50.0,2017-09-16,2.0
100521,80017,33279,10055.5,2011-06-24,402.22
100522,80423,31231,20000.0,2024-10-20,800.0
100523,80127,31150,10000.0,2012-05-01,400.0
100524,80892,31842,30050.0,2016-01-15,1202.0
100525,80730,32203,10100.0,2018-06-12,404.0
100526,80257,31682,311.0,2012-06-18,12.44
100527,80800,32714,3000.0,2019-11-23,120.0
100528,81198,34589,33000.0,2009-11-19,1320.0
100529,80682,30426,100.0,2022-09-26,4.0
100530,81882,31095,30055.5,2009-10-14,1202.22
100531,81814,32550,355.5,2022-08-13,14.22
100533,80691,30856,3050.0,2012-02-26,122.0
100534,80492,30375,50.0,2013-02-19,2.0
100535,81253,33824,3055.5,2010-08-21,122.22
100536,81397,33459,10000.0,2011-06-26,400.0
100537,80405,33520,70000.0,2017-10-03,2800.0
100538,81434,33489,43000.0,2024-11-02,1720.0
100539,81212,31097,10000.0,2024-07-18,400.0
100540,80332,33753,50.0,2014-08-05,2.0
100541,81704,30911,3050.0,2024-10-18,122.0
100542,81949,34421,50.0,2020-06-25,2.0
100543,81601,30886,60300.0,2016-03-22,2412.0
100544,80734,31590,20000.0,2015-10-30,800.0
100545,81235,33366,5.5,2009-05-14,0.22
100546,80364,34462,5.5,2020-09-01,0.22
100547,81179,33073,9000.0,2011-08-03,360.0
100548,81955,32668,40000.0,2015-11-14,1600.0
100549,80477,33482,30005.5,2017-12-20,1200.22
100550,81320,34911,30050.0,2010-03-15,1202.0
100551,80195,34881,3600.0,2010-10-13,144.0
100552,81746,30557,305.5,2015-02-19,12.22
100554,80287,30834,3350.0,2022-04-12,134.0
100555,80932,32594,30305.5,2016-11-09,1212.22
100556,80645,34448,20000.0,2013-07-16,800.0
100557,81282,31323,16.5,2009-12-23,0.66
100558,81132,30995,13300.0,2023-12-15,532.0
100559,81352,34090,10050.0,2017-05-28,402.0
100560,81553,30317,5.5,2022-12-19,0.22
100561,81720,34550,355.5,2016-05-05,14.22
100562,81346,31768,40000.0,2024-11-23,1600.0
100563,81545,30529,13005.5,2013-08-14,520.22
100564,80559,31146,10600.0,2023-01-14,424.0
100565,80783,34742,3000.0,2021-04-30,120.0
100566,81980,30008,13300.0,2020-03-07,532.0
100567,81172,31377,100.0,2022-03-30,4.0
100568,81828,34104,40300.0,2021-12-11,1612.0
100569,80469,34924,50.0,2020-06-08,2.0
100570,81055,34353,30300.0,2012-12-30,1212.0
100571,81162,34873,36000.0,2013-03-12,1440.0
100572,80757,30546,5.5,2016-01-04,0.22
